unique_id,code,desc,value,reason,workgroup,controllable,r_cat,r_dets,code_prm,code_sub
OP0654-2021-10-01-CAI-AUH,32B,Late loaders; Lack of loading staff; Incorrect loading (e.g. not according to ,19,Aircraft & Ramp - Errors or late/lack of loading staff ,Below Wing,Y,Aircraft & Ramp,Errors or late/lack of loading staff,32,B
OP0088-2021-10-01-MXP-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,14,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0418-2021-10-01-AUH-KUL,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0058-2021-10-01-BRU-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP2423-2021-10-01-MNL-AUH,86B,Extraordinary checks of guests/aircraft by CIH causing delay in dis/embarkation,8,Airport/Govt Authorities - CIH authorities,AptAuth,N,Airport/Govt Authorities,CIH authorities,86,B
OP0081-2021-10-01-AUH-MXP,22A,Late/Lack of manpower and/or ground service equipment by GHA,31,Cargo & Mail - Late/Lack of manpower and/or ground service equipment by GHA,Below Wing,Y,Cargo & Mail,Late/Lack of manpower and/or ground service equipment by GHA,22,A
OP0011-2021-10-01-AUH-LHR,24B,Incorrect contour/build of ULD ,34,Cargo & Mail - Incorrect contour/build of ULD,Below Wing,N,Cargo & Mail,Incorrect contour/build of ULD,24,B
OP0265-2021-10-01-CMB-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0078-2021-10-01-AMS-AUH,16E,Repatriation/Deportation handling; Inadmissible handling; Disruptive guest han,17,Pax & Bag - Abnormal guest handling,Above Wing,N,Pax & Bag,Abnormal guest handling,16,E
OP0038-2021-10-01-CDG-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,28,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0020-2021-10-01-LHR-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,9,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0856-2021-10-01-AUH-ICN,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,11,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0622-2021-10-01-AUH-SEZ,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,125,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0384-2021-10-01-AUH-MCT,62C,empty,11,Crew - Late alteration of load due to operational requirement,NOC,N,Crew,Late alteration of load due to operational requirement,62,C
OP0240-2021-10-01-AUH-DAC,32B,Late loaders; Lack of loading staff; Incorrect loading (e.g. not according to ,20,Aircraft & Ramp - Errors or late/lack of loading staff ,Below Wing,Y,Aircraft & Ramp,Errors or late/lack of loading staff,32,B
OP0430-2021-10-01-HKT-BKK,04A,Dispatch errors; Inefficient coordination of turnaround activities;,13,Other - No delay code received in NEO,Others,Y,Other,No delay code received in NEO,04,A
OP0012-2021-10-01-LHR-AUH,77A,empty,11,Weather - Ground handling impaired by adverse weather,Weather,N,Weather,Ground handling impaired by adverse weather,77,A
OP0018-2021-10-01-LHR-AUH,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,12,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0454-2021-10-01-AUH-SYD,22A,Late/Lack of manpower and/or ground service equipment by GHA,7,Cargo & Mail - Late/Lack of manpower and/or ground service equipment by GHA,Below Wing,Y,Cargo & Mail,Late/Lack of manpower and/or ground service equipment by GHA,22,A
OP0264-2021-10-01-AUH-CMB,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0100-2021-10-01-LAX-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0008-2021-10-01-FRA-AUH,93R,Applicable to all delays caused by late arrival of aircraft from another flight,13,Reactionary - Late aircraft rotation due Other,Others,N,Reactionary,Late aircraft rotation due Other,93,R
OP0658-2021-10-01-CAI-AUH,32B,Late loaders; Lack of loading staff; Incorrect loading (e.g. not according to ,15,Aircraft & Ramp - Errors or late/lack of loading staff ,Below Wing,Y,Aircraft & Ramp,Errors or late/lack of loading staff,32,B
OP2317-2021-10-02-AUH-RUH,16I,Guest boarding,46,Pax & Bag - Guest boarding,Above Wing,N,Pax & Bag,Guest boarding,16,I
OP0088-2021-10-02-MXP-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,2,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0274-2021-10-02-AUH-HYD,91R,Flight hold awaiting guests (incl. baggage) from another late inbound Etihad fl,23,Reactionary - Awaiting guest and/or baggage from another late inbound Etihad flight,NOC,N,Reactionary,Awaiting guest and/or baggage from another late inbound Etihad flight,91,R
OP0278-2021-10-02-AUH-MLE,03A,Flight departure within 3 minutes of STD irrespective of delay reason,1,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0240-2021-10-02-AUH-DAC,23B,Acceptance of cargo after deadline requested by Cargo Commercial,25,Cargo & Mail - Late acceptance of cargo for commercial reasons,Cargo Commercial,N,Cargo & Mail,Late acceptance of cargo for commercial reasons,23,B
OP0856-2021-10-02-AUH-ICN,23B,Acceptance of cargo after deadline requested by Cargo Commercial,25,Cargo & Mail - Late acceptance of cargo for commercial reasons,Cargo Commercial,N,Cargo & Mail,Late acceptance of cargo for commercial reasons,23,B
OP0081-2021-10-02-AUH-MXP,89B,Movement area congestion; ATC (ground movement); Simultaneous pushback conflict,4,Airport/Govt Authorities - Awaiting start-up and/or pushback clearance,AptAuth,N,Airport/Govt Authorities,up and/or pushback clearance,89,B
OP0231-2021-10-02-AUH-ISB,86A,Insufficient travel doc of guests/INAD/deportee; Incoming guest checks; Guest ,16,"Airport/Govt Authorities - Customs, immigration, health guests and baggage",AptAuth,N,Airport/Govt Authorities,"Customs, immigration, health guests and baggage",86,A
OP0006-2021-10-02-MUC-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0012-2021-10-02-LHR-AUH,16J,Disabled/Wheelchair guest handling; slow disembarkation/embarkation (for late ,16,Pax & Bag - Special needs handling,Above Wing,N,Pax & Bag,Special needs handling,16,J
OP0656-2021-10-02-CAI-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
OP0610-2021-10-02-CMN-AUH,03A,Flight departure within 3 minutes of STD irrespective of delay reason,3,Other - Flight departure within 3 minutes of STD,Others,N,Other,Flight departure within 3 minutes of STD,03,A
